microseconds,logic0,logic1,Trigger
931581,1,1,0
1039477,1,0,0
1048612,0,0,0
1154056,0,1,0
1161039,1,1,0
1262127,1,0,0
1277885,0,0,0
1376537,0,1,0
1389783,1,1,0
1484820,1,0,0
1507852,0,0,0
1598980,0,1,0
1619379,1,1,0
1707352,1,0,0
1736601,0,0,0
1822103,0,1,0
1848417,1,1,0
1930097,1,0,0
1964521,0,0,0
2045643,0,1,0
2077497,1,1,0
2154019,1,0,0
2194629,0,0,0
2268335,0,1,0
2306813,1,1,0
2377225,1,0,0
2423469,0,0,0
2492944,0,1,0
2535667,1,1,0
2601037,1,0,0
2652189,0,0,0
2714933,0,1,0
2764312,1,1,0
2823477,1,0,0
2880626,0,0,0
2937277,0,1,0
2992525,1,1,0
3045236,1,0,0
3109809,0,0,0
3160694,0,1,0
3221050,1,1,0
3269068,1,0,0
3336447,0,0,0
3384350,0,1,0
3448457,1,1,0
3492074,1,0,0
3564238,0,0,0
3607000,0,1,0
3676648,1,1,0
3715034,1,0,0
3793057,0,0,0
3829854,0,1,0
3905766,1,1,0
3937413,1,0,0
4021579,0,0,0
4051605,0,1,0
4133839,1,1,0
4160001,1,0,0
4249500,0,0,0
4275170,0,1,0
4361559,1,1,0
4382993,1,0,0
4477934,0,0,0
4497325,0,1,0
4589353,1,1,0
4606329,1,0,0
4706179,0,0,0
4721231,0,1,0
4818393,1,1,0
4829467,1,0,0
4934669,0,0,0
4944146,0,1,0
5045807,1,0,0
5160516,0,1,0
5268686,1,0,0
5383418,0,1,0
5490955,1,0,0
5605309,0,1,0
5712410,1,0,0
5828151,0,1,0
5936014,1,0,0
6049960,0,1,0
6157520,1,0,0
6272861,0,1,0
6380682,1,0,0
6494540,0,1,0
6601547,1,0,0
6717037,0,1,0
6824902,1,0,0
6939588,0,1,0
7048331,1,0,0
7163195,0,1,0
7270805,1,0,0
7384968,0,1,0
7493325,1,0,0
7607432,0,1,0
7715233,1,0,0
7830059,1,1,0
7830060,0,1,0
7938593,1,0,0
8053381,0,1,0
8160556,1,0,0
8274713,0,1,0
8383414,1,0,0
8498146,0,1,0
8605449,1,0,0
8719521,0,1,0
8828242,1,0,0
8942897,0,1,0
9050281,1,0,0
9164248,0,1,0
9272184,1,0,0
9387434,0,1,0
9495100,1,0,0
9608799,0,1,0
9715699,1,0,0
9831211,0,1,0
9939264,1,0,0
